,Date,GameID,Season,M/F,Team1,Team2,Score1,Score2,Player1Team1,Player2Team1,Player3Team1,Player4Team1,Player5Team1,Player6Team1,Player7Team1,Player8Team1,Player9Team1,Player10Team1,Player11Team1,Player12Team1,Player13Team1,Player14Team1Player1Team2,Player2Team2,Player3Team2,Player4Team2,Player5Team2,Player6Team2,Player7Team2,Player8Team2,Player9Team2,Player10Team2,Player11Team2,Player12Team2,Player13Team2,Player14Team2,Player14Team1,Player1Team2
0,2020/12/20,1045.0,2020/2021,M,United Volleys Frankfurt,Volleyball Bisons Bühl,3,1,Imhoff Facundo,Tsuiki Satoshi,Baxpöhler Noah,Reinhardt Jonas,Grozer Tim,Schöps Jochen,Malescha Daniel,Schmidgall Mario,Quiroga Rodrigo,Valkiers Matthias,Lauter Philipp,-,-,,Stöhr Tim,Thiel Stefan,Gallas Simon,Aloisi Luciano,Vaskelis Edvinas,Henning Paul,Jurkovics Mathäus,Meier Leon,Ringseis Florian,Kronthaler Niklas,Lopez Tomas,-,-,-,Szabó Alpár
1,2020/11/04,1001.0,2020/2021,M,Volleyball Bisons Bühl,TSV Unterhaching,3,0,Thiel Stefan,Lind Jonas,Gallas Simon,Aloisi Luciano,Vaskelis Edvinas,Henning Paul,Jurkovics Mathäus,Röhrs Erik,Meier Leon,Ringseis Florian,Kronthaler Niklas,Lopez Tomas,-,,Zahar George Alexandru,Sagstetter Jonas,Sagstetter Benedikt,Topuzliev Simeon,Graven Leonard,Brandt Severin,Brandt Niklas,Petrusic Juro,Thom Benjamin,Gehringer Paul,Friedrich Roy,Paduretu Eric,Chefai Mohamed,-,Suck Fabian
2,2021/01/23,1065.0,2020/2021,M,VfB Friedrichshafen,TSV Unterhaching,3,0,Worsley Joseph,Aylsworth Avery,Mote Nehemiah,Juhkami Martti,Balean Rares,van de Velde Arno,Bonin Ben-Simon,Weber Linus,Steuerwald Markus,Maase Lukas,Fiel Rodriguez David,-,-,,Zahar George Alexandru,Sagstetter Jonas,Sagstetter Benedikt,Topuzliev Simeon,Graven Leonard,Brandt Severin,Brandt Niklas,Petrusic Juro,Thom Benjamin,Gehringer Paul,Friedrich Roy,Paduretu Eric,Chefai Mohamed,-,Suck Fabian
3,2020/10/03,2002.0,2020/2021,F,NawaRo Straubing,Schwarz-Weiß Erfurt,3,1,Provaroni Claudia,Ismaili Valbona,Norveel Kjersti,Kettenbach Elisabeth,Hölzig Annegret,Szaboova Sandra,Schweigmann Janna,Hänle Marie,Dreblow Sophie,Scholten Iris,-,-,-,,Kovac Sara,Reinisch Paula,Krause Sabrina,Petter Michelle,Stauß Mia Anna,Lenz Sindy,Michel Tosi Victoria,Gross Jasmine,Barthel Meghan,Maase Rica,Cole Madelyn,-,-,-,Palmer Madeline
4,2020/10/29,2019.0,2020/2021,F,Rote Raben Vilsbiburg,NawaRo Straubing,3,0,Dammer Simona,Keller Luisa,Brisebois Danielle,Möller Onno,Glaab Corina,Schoot Myrthe Mathilde,Bock Josepha,Conaway Alexis,Haneline Kayla,Taylor Nikki Leialoha,Guilliams Jodie,-,-,,Ismaili Valbona,Norveel Kjersti,Kettenbach Elisabeth,Hölzig Annegret,Szaboova Sandra,Schweigmann Janna,Hänle Marie,Dreblow Sophie,Scholten Iris,Gryka Magdalena,-,-,-,-,Provaroni Claudia
5,2019/10/27,1021.0,2019/2020,M,BERLIN RECYCLING Volleys,TSV Unterhaching,3,0,Kowalski Adam,Ensing Kyle,Jendryk Il Jeffrey,Malcher Moritz,Grankin Sergey,Klein Georg,Reusch Johann,Zenger Julian,Kessel Cody,Tuia Samuele,Patch Benjamin,Le Goff Nicolas,-,,Petter Michelle,Dervisaj Leon,Nagel Friederich,Mönnich Johannes,Barfield Lauren,Grozer Tim,Takagui Ana Tiemi,Weir James,Tille Johannes,Apfelbach Karl,Hopt Jannis,-,-,-,Jarvis Jared
6,2020/11/01,2027.0,2020/2021,F,USC Münster,Allianz MTV Stuttgart,1,3,Bock Linda,Nelson Taylor Kaera,Brinkmann Anika,Kastrup Liza,Korevaar Demi Johanna Marijke,Lambert Adeja,Barber Nele,Langgemach Juliane,van Aalen Sarah Emma,Wezorke Barbara Roxana,Lacerda Pereira Heloiza,-,-,,Segura Palleres Maria,Lohuis Juliët,Grozer Dora,Rosenthal Jenna,Kästner Pia,Große Scharmann Lena,Papafotiou Athina,Rivers Krystal,Berger Lara,Mlejnkova Michaela,Todorova Mira,-,-,-,Koskelo Roosa
7,2020/11/14,2034.0,2020/2021,F,VfB Suhl LOTTO Thüringen,USC Münster,3,0,Harbin Danielle,Müller Sabrina,Meis Lisanne,Boom Dagmar,Mohler Blake,Sunjic Jelena,de Zwart Laura,Steger Claudia,Lohmann Elisa,Pallag Agnes,-,-,-,,Nelson Taylor Kaera,Brinkmann Anika,Kastrup Liza,Korevaar Demi Johanna Marijke,Lambert Adeja,Barber Nele,Langgemach Juliane,van Aalen Sarah Emma,Wezorke Barbara Roxana,Kildau Erika,Lacerda Pereira Heloiza,Mohr Pia,Kirchhoff Mia,-,Bock Linda
8,2019/11/16,1040.0,2019/2020,M,WWK Volleys Herrsching,WWK Volleys Herrsching,3,1,Ilic Dorde,Stöhr Tim,Peter Tim,Tille Johannes,Tille Ferdinand,Kaminski Jonas,van Werkhoven Mart,Engelmann Linus,Mantha Jori Alexander,Penrose Jalen,-,-,-,,Sagstetter Jonas,Watanabe Shunsuke,Krüger Merten,Halanda Tomas,Peemüller Richard,Prokopczuk Rafal,Brand Tobias,Jurkovics Mathäus,Hamzagic Irfan,Van der Ent Luuc,Antony Carlos,-,-,-,Peta Mircea Paul
9,2020/12/09,2057.0,2020/2021,F,USC Münster,Ladies in Black Aachen,3,1,Bock Linda,Nelson Taylor Kaera,Brinkmann Anika,Kastrup Liza,Korevaar Demi Johanna Marijke,Lambert Adeja,Barber Nele,Langgemach Juliane,van Aalen Sarah Emma,Wezorke Barbara Roxana,Lacerda Pereira Heloiza,-,-,,Kicka Kristina,Haynes Madeline,Lavickyte Rugile,Sorbo Live,Poll Jana Franziska,Olimstad Emilie,Timmerman Eline,Herelova Nina,Cesar Annie,Schwertmann Leonie,-,-,-,-,Hindriksen Mareike
10,2020/12/05,1032.0,2020/2021,M,WWK Volleys Herrsching,SWD powervolleys DÜREN,1,3,Ilic Dorde,Lembach Justus,Peter Tim,van der Ent Luuc Cornelius,Tille Johannes,Tille Ferdinand,Kaminski Jonas,Ferch Iven Fietje,Mantha Jori Alexander,Penrose Jalen,Tille Johannes,-,-,,Schumann Philipp,Bann Blair,Ireland Craig,Andrae Björn,Ernastowicz Marcin,Brand Tobias,Andrei Michael,Burggräf Eric,Gevert Sebastián,Van Berkel Lucas Joshua,Kocian Tomas,Deshane Jordan,-,-,Batanov Ivan
11,2019/10/11,2029.0,2019/2020,F,VC Wiesbaden,Ladies in Black Aachen,0,3,Oud Nynke,Großer Tanja,Wilczek Natalie,Hetmann Selma Theresa,Welsch Laurenz,Vyklická Klara,Neuhaus Frauke,Wesser Julia,Dugan Shannon,Vedder Lena,Bjerland Renate,-,-,,Divoux Aziliz,Thater Emily Grace,Blenckers Lynn,Polder Tessa,Jasper Hester,Olimstad Emilie,Malik Polina,Storck Maja,Hindriksen Mareike,Bernard Manon,-,-,-,-,Agbortabi Vanessa
12,0000/00/00,2007.0,-1/0,F,VfB Suhl LOTTO Thüringen,SSC Palmberg Schwerin,1,3,Patockova Tereza,Jasper Hester,Tauchert Sophie,Siebring Anniek,Watson Karis Elizabeth,Steger Claudia,Jacobson McKenzie,Michel Tosi Victoria,Valkova Katerina,Agost Taylor,-,-,-,,Barber Nele,Pogany Anna,Bongaerts Britt,Drewniok Kimberly,Oude Luttikhuis Nicole,Hanke Denise,Dumancic Beta,Barfield Lauren,Adams Mckenzie,Jatzko Romy,Schölzel Marie,Ambrosius Lea,-,-,Szakmáry Greta
13,2019/21/12,1062.0,2019/2020,M,SWD powervolleys DÜREN,VfB Friedrichshafen,3,0,Batanov Ivan,Broshog Tim,Zachrich Jaromir,Schumann Philipp,Bann Blair,Andrae Björn,Bogachev Egor,Brand Tobias,Burggräf Eric,Gevert Sebastián,Maase Lukas,-,-,,Kocian Tomas,Späth-Westerholt Thilo,Mote Nehemiah,Menner Anton,Balean Rares,Janouch Jakub,Juhkami Martti,Malescha Daniel,Steuerwald Markus,Gjorgiev Nikola,Schmidt Brendan,-,-,-,Worsley Joseph
14,2019/11/18,1042.0,2019/2020,M,Helios GRIZZLYS Giesen,VfB Friedrichshafen,2,3,Ringseis Florian,Richards Jordan Benjamin,Gross Jasmine,Gärtner Moritz,Costa da Silva Paulo Victo,Kaminski Jonas,Stalekar Saso,Siirilä Tommi Juhani,Staples Max William,Francös Pedro Henrique,Clere Jerome Claude Pierr,Duarte Souza Da Silva Do,Kronthaler Niklas,,Kocian Tomas,Späth-Westerholt Thilo,Mote Nehemiah,Menner Anton,Balean Rares,Janouch Jakub,Juhkami Martti,Malescha Daniel,Steuerwald Markus,Gjorgiev Nikola,Schmidt Brendan,-,-,-,Worsley Joseph
15,2021/01/30,1068.0,2020/2021,M,WWK Volleys Herrsching,Netzhoppers KW-Bestensee,3,0,Ilic Dorde,Lembach Justus,Peter Tim,van der Ent Luuc Cornelius,Tille Johannes,Tille Ferdinand,Kaminski Jonas,Ferch Iven Fietje,Welsch Laurenz,Mantha Jori Alexander,Penrose Jalen,-,-,,Jalowietzki Jan,Weir James,Goralik Yannick,Jackson James,Klooss Adrian Lennart,Westphal Dirk,Allik Karli,Ratajczak Kamil,Timmermann Theo,Mönnich Johannes,Kovác Jakub,Gust Levin,-,-,Keturakis Byron
