,PlayerName,M/F,PlayerTeam,OpposingTeam,Score1,Score2,Date,GameID,Season,PointsTotal,PointsDelta,ServeTotal,ServeError,ServePoints,ReceptionTotal,ReceptionError,AttackTotal,AttackError,AttackBlocked,AttackPoints,BlockPoints
0,Imhoff Facundo,M,United Volleys Frankfurt,Volleyball Bisons Bühl,3,1,2020/12/20,1045.0,2020/2021,9.0,8.0,11.0,0,0,1.0,0,12.0,0,1.0,8.0,1.0
1,Tsuiki Satoshi,M,United Volleys Frankfurt,Volleyball Bisons Bühl,3,1,2020/12/20,1045.0,2020/2021,0.0,-1.0,0.0,0,0,22.0,1.0,0.0,0,0.0,0.0,0.0
2,Baxpöhler Noah,M,United Volleys Frankfurt,Volleyball Bisons Bühl,3,1,2020/12/20,1045.0,2020/2021,10.0,10.0,18.0,0,0,0.0,0,12.0,0,0.0,7.0,3.0
3,Reinhardt Jonas,M,United Volleys Frankfurt,Volleyball Bisons Bühl,3,1,2020/12/20,1045.0,2020/2021,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0
4,Grozer Tim,M,United Volleys Frankfurt,Volleyball Bisons Bühl,3,1,2020/12/20,1045.0,2020/2021,20.0,7.0,16.0,6.0,1.0,17.0,4.0,35.0,1.0,2.0,19.0,0.0
5,Schöps Jochen,M,United Volleys Frankfurt,Volleyball Bisons Bühl,3,1,2020/12/20,1045.0,2020/2021,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0
6,Malescha Daniel,M,United Volleys Frankfurt,Volleyball Bisons Bühl,3,1,2020/12/20,1045.0,2020/2021,25.0,12.0,22.0,6.0,0,0.0,0,41.0,3.0,4.0,25.0,0.0
7,Schmidgall Mario,M,United Volleys Frankfurt,Volleyball Bisons Bühl,3,1,2020/12/20,1045.0,2020/2021,5.0,4.0,11.0,1.0,0,1.0,0,6.0,0,0.0,4.0,1.0
8,Quiroga Rodrigo,M,United Volleys Frankfurt,Volleyball Bisons Bühl,3,1,2020/12/20,1045.0,2020/2021,1.0,-3.0,17.0,1.0,0,36.0,1.0,5.0,1.0,1.0,1.0,0.0
9,Valkiers Matthias,M,United Volleys Frankfurt,Volleyball Bisons Bühl,3,1,2020/12/20,1045.0,2020/2021,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0
10,Lauter Philipp,M,United Volleys Frankfurt,Volleyball Bisons Bühl,3,1,2020/12/20,1045.0,2020/2021,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0
11,Hüger Linus,M,United Volleys Frankfurt,Volleyball Bisons Bühl,3,1,2020/12/20,1045.0,2020/2021,0.0,0.0,4.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0
12,Szabó Alpár,M,Volleyball Bisons Bühl,United Volleys Frankfurt,1,3,2020/12/20,1045.0,2020/2021,2.0,2.0,4.0,0,0,1.0,0,3.0,0,0.0,2.0,0.0
13,Stöhr Tim,M,Volleyball Bisons Bühl,United Volleys Frankfurt,1,3,2020/12/20,1045.0,2020/2021,9.0,7.0,8.0,1.0,0,15.0,0,14.0,1.0,0.0,9.0,0.0
14,Thiel Stefan,M,Volleyball Bisons Bühl,United Volleys Frankfurt,1,3,2020/12/20,1045.0,2020/2021,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0
15,Gallas Simon,M,Volleyball Bisons Bühl,United Volleys Frankfurt,1,3,2020/12/20,1045.0,2020/2021,3.0,0.0,5.0,1.0,0,0.0,0,9.0,2.0,0.0,2.0,1.0
16,Aloisi Luciano,M,Volleyball Bisons Bühl,United Volleys Frankfurt,1,3,2020/12/20,1045.0,2020/2021,3.0,2.0,14.0,1.0,0,0.0,0,4.0,0,0.0,2.0,1.0
17,Vaskelis Edvinas,M,Volleyball Bisons Bühl,United Volleys Frankfurt,1,3,2020/12/20,1045.0,2020/2021,14.0,7.0,11.0,4.0,0,0.0,0,32.0,2.0,1.0,14.0,0.0
18,Henning Paul,M,Volleyball Bisons Bühl,United Volleys Frankfurt,1,3,2020/12/20,1045.0,2020/2021,5.0,0.0,19.0,3.0,0,0.0,0,9.0,1.0,1.0,5.0,0.0
19,Jurkovics Mathäus,M,Volleyball Bisons Bühl,United Volleys Frankfurt,1,3,2020/12/20,1045.0,2020/2021,8.0,5.0,8.0,2.0,1.0,0.0,0,7.0,0,1.0,4.0,3.0
20,Meier Leon,M,Volleyball Bisons Bühl,United Volleys Frankfurt,1,3,2020/12/20,1045.0,2020/2021,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0
21,Ringseis Florian,M,Volleyball Bisons Bühl,United Volleys Frankfurt,1,3,2020/12/20,1045.0,2020/2021,0.0,0.0,0.0,0,0,40.0,0,0.0,0,0.0,0.0,0.0
22,Kronthaler Niklas,M,Volleyball Bisons Bühl,United Volleys Frankfurt,1,3,2020/12/20,1045.0,2020/2021,4.0,1.0,8.0,2.0,1.0,24.0,0,7.0,1.0,0.0,3.0,0.0
23,Lopez Tomas,M,Volleyball Bisons Bühl,United Volleys Frankfurt,1,3,2020/12/20,1045.0,2020/2021,23.0,15.0,16.0,2.0,4.0,5.0,1.0,37.0,3.0,2.0,16.0,3.0
24,Thiel Stefan,M,Volleyball Bisons Bühl,TSV Unterhaching,3,0,2020/11/04,1001.0,2020/2021,4.0,4.0,10.0,0,1.0,0.0,0,2.0,0,0.0,2.0,1.0
25,Lind Jonas,M,Volleyball Bisons Bühl,TSV Unterhaching,3,0,2020/11/04,1001.0,2020/2021,0.0,-2.0,0.0,0,0,6.0,2.0,0.0,0,0.0,0.0,0.0
26,Gallas Simon,M,Volleyball Bisons Bühl,TSV Unterhaching,3,0,2020/11/04,1001.0,2020/2021,0.0,-1.0,1.0,0,0,0.0,0,1.0,1.0,0.0,0.0,0.0
27,Aloisi Luciano,M,Volleyball Bisons Bühl,TSV Unterhaching,3,0,2020/11/04,1001.0,2020/2021,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0
28,Vaskelis Edvinas,M,Volleyball Bisons Bühl,TSV Unterhaching,3,0,2020/11/04,1001.0,2020/2021,18.0,14.0,13.0,1.0,3.0,0.0,0,19.0,1.0,2.0,13.0,2.0
29,Henning Paul,M,Volleyball Bisons Bühl,TSV Unterhaching,3,0,2020/11/04,1001.0,2020/2021,6.0,0.0,25.0,3.0,4.0,1.0,0,5.0,1.0,2.0,2.0,0.0
